"","district","town"
"741","士林區","福志里"
"742","北投區","石牌里"
"743","北投區","石牌里"
"744","北投區","榮光里"
"745","文山區","興旺里"
"746","大同區","建泰里"
"747","北投區","福興里"
"748","北投區","開明里"
"749","士林區","福佳里"
"750","松山區","復勢里"
"751","北投區","裕民里"
"752","北投區","裕民里"
"753","松山區","安平里"
"754","松山區","安平里"
"755","士林區","福志里"
"756","士林區","公館里"
"757","中正區","梅花里"
"758","信義區","雙和里"
"759","士林區","富洲里"
"760","士林區","富洲里"
"761","文山區","興家里"
"762","萬華區","華中里"
"763","士林區","葫蘆里"
"764","松山區","民福里"
"765","大安區","群賢里"
"766","內湖區","瑞光里"
"767","士林區","葫蘆里"
"768","北投區","清江里"
"769","信義區","景聯里"
"770","南港區","東新里"
"771","大安區","華聲里"
"772","北投區","溫泉里"
"773","松山區","吉祥里"
"774","士林區","舊佳里"
"775","士林區","永倫里"
"776","北投區","桃源里"
"777","北投區","永和里"
"778","北投區","奇岩里"
"779","大安區","全安里"
"780","大安區","全安里"
"781","內湖區","西湖里"
"782","士林區","葫蘆里"
"783","南港區","舊莊里"
"784","南港區","舊莊里"
"785","士林區","芝山里"
"786","文山區","樟文里"
"787","文山區","樟文里"
"788","士林區","天和里"
"789","萬華區","和德里"
"790","文山區","興安里"
"791","文山區","興安里"
"792","萬華區","綠堤里"
"793","信義區","國業里"
"794","內湖區","港墘里"
"795","中正區","板溪里"
"796","中正區","板溪里"
"797","士林區","社子里"
"798","大同區","重慶里"
"799","大同區","蓬萊里"
"800","大同區","蓬萊里"
"801","士林區","社園里"
"802","松山區","介壽里"
"803","松山區","介壽里"
"804","文山區","興昌里"
"805","文山區","興昌里"
"806","中山區","康樂里"
"807","士林區","天祿里"
"808","文山區","興家里"
"809","北投區","桃源里"
"810","中正區","永功里"
"811","士林區","後港里"
"812","大安區","誠安里"
"813","大安區","誠安里"
"814","文山區","順興里"
"815","內湖區","港墘里"
"816","中山區","復華里"
"817","北投區","建民里"
"818","北投區","一德里"
"819","北投區","裕民里"
"820","文山區","興光里"
"821","萬華區","和平里"
"822","萬華區","和平里"
"823","中山區","正義里"
"824",NA,NA
"825","大同區","蓬萊里"
"826","松山區","安平里"
"827","松山區","新益里"
"828","松山區","新益里"
"829","信義區","五全里"
"830","大同區","延平里"
"831","大同區","延平里"
"832","士林區","翠山里"
"833","信義區","三張里"
"834","松山區","復源里"
"835","士林區","百齡里"
"836","大安區","敦煌里"
"837","士林區","社新里"
"838","北投區","中心里"
"839","士林區","新安里"
"840","士林區","福佳里"
"841","南港區","南港里"
"842","士林區","天壽里"
"843","士林區","天壽里"
"844","士林區","明勝里"
"845","信義區","黎平里"
"846","信義區","興雅里"
"847","大同區","重慶里"
"848","大同區","重慶里"
"849","大安區","義村里"
"850","大安區","義村里"
"851","士林區","永倫里"
"852","大安區","龍生里"
"853","文山區","樟文里"
"854","南港區","舊莊里"
"855","萬華區","銘德里"
"856","士林區","名山里"
"857","北投區","榮華里"
"858","中山區","新生里"
"859","中正區","廈安里"
"860","松山區","美仁里"
"861","士林區","前港里"
"862","北投區","榮華里"
"863","士林區","社園里"
"864","松山區","東光里"
"865","中正區","螢圃里"
"866","內湖區","石潭里"
"867","萬華區","新安里"
"868","大同區","南芳里"
"869","大同區","南芳里"
"870","萬華區","和德里"
"871","士林區","葫蘆里"
"872","文山區","興家里"
"873","松山區","新東里"
"874","中正區","文盛里"
"875","中正區","文盛里"
"876","文山區","博嘉里"
"877","文山區","博嘉里"
"878","中正區","林興里"
"879","萬華區","頂碩里"
"880","大安區","通化里"
"881","大安區","通化里"
"882","士林區","葫蘆里"
"883","士林區","福安里"
"884","中正區","永功里"
"885","大安區","光信里"
"886","士林區","三玉里"
"887","中山區","大直里"
"888","士林區","公館里"
"889","中正區","螢圃里"
"890","大同區","隆和里"
"891","大同區","隆和里"
"892","信義區","景新里"
"893","信義區","景新里"
"894","萬華區","萬壽里"
"895","北投區","八仙里"
"896","中山區","晴光里"
"897","北投區","八仙里"
"898","萬華區","華江里"
"899","大同區","雙連里"
"900","大安區","芳和里"
"901","松山區","慈祐里"
"902","大安區","仁愛里"
"903","萬華區","綠堤里"
"904","士林區","社子里"
"905","北投區","榮光里"
"906","士林區","福中里"
"907","中正區","螢圃里"
"908","內湖區","五分里"
"909","北投區","一德里"
"910","士林區","東山里"
"911","北投區","一德里"
"912","萬華區","新忠里"
"913","內湖區","石潭里"
"914","士林區","社新里"
"915","內湖區","石潭里"
"916","文山區","興邦里"
"917","文山區","興邦里"
"918","北投區","中心里"
"919","北投區","大同里"
"920","大同區","建明里"
"921","北投區","吉慶里"
"922","士林區","福中里"
"923","松山區","東光里"
"924","萬華區","壽德里"
